algorithm,m,n,makespan,total_cost,production_cost,transportation_cost,computation_time,schedule_length
Composite_Rule,10,20,782.0,8686.117752607295,7820.0,866.1177526072952,0.0053497155507405,200.33333333333334
Composite_Rule,10,60,2046.0,26726.71895505073,20460.0,6266.718955050728,0.025768200556437134,629.3333333333334
Composite_Rule,10,100,3354.0,49278.138390687505,33540.0,15738.138390687513,0.06315875053405758,1068.3333333333333
Composite_Rule,10,140,4507.666666666667,72146.5115289,45076.666666666664,27069.844862233324,0.12845977147420243,1462.3333333333333
Composite_Rule,20,20,440.0,4958.458951581656,4400.0,558.4589515816557,0.007974545160929334,192.33333333333334
Composite_Rule,20,60,1126.0,14770.53243230783,11260.0,3510.53243230783,0.0322449207305908,637.3333333333334
Composite_Rule,20,100,1793.0,25942.978438949922,17930.0,8012.978438949922,0.07229590415954586,1104.0
Composite_Rule,20,140,2444.0,35943.75464232166,24440.0,11503.75464232166,0.1192680994669596,1492.6666666666667
Composite_Rule,30,20,357.3333333333333,4000.2683935467153,3573.3333333333335,426.9350602133818,0.0106130441029866,213.66666666666666
Composite_Rule,30,60,844.0,10518.378044263598,8440.0,2078.3780442635975,0.057341098785400335,650.6666666666666
Composite_Rule,30,100,1185.3333333333333,17298.779704699653,11853.333333333334,5445.446371366321,0.09821263949076331,1005.3333333333334
Composite_Rule,30,140,1586.6666666666667,25912.88134228025,15866.666666666666,10046.214675613584,0.13815728823343906,1419.3333333333333
EDD_Rule,10,20,706.0,7827.503824235646,7060.0,767.5038242356454,0.0035415490468342667,200.33333333333334
EDD_Rule,10,60,1972.3333333333333,25770.737025476265,19723.333333333332,6047.403692142929,0.017904361089070602,629.3333333333334
EDD_Rule,10,100,3310.3333333333335,48641.731627844296,33103.333333333336,15538.39829451096,0.04222742716471347,1068.3333333333333
EDD_Rule,10,140,4468.0,71514.6878698352,44680.0,26834.687869835197,0.08749572436014809,1462.3333333333333
EDD_Rule,20,20,388.6666666666667,4400.743861846101,3886.6666666666665,514.0771951794344,0.012930154800415,192.33333333333334
EDD_Rule,20,60,1097.0,14411.199725249282,10970.0,3441.199725249284,0.02270166079203283,637.3333333333334
EDD_Rule,20,100,1768.6666666666667,25598.74365332398,17686.666666666668,7912.076986657314,0.05081097284952794,1104.0
EDD_Rule,20,140,2383.6666666666665,35068.87842019354,23836.666666666668,11232.211753526875,0.0798442363739013,1492.6666666666667
EDD_Rule,30,20,316.6666666666667,3556.376700972151,3166.6666666666665,389.7100343054845,0.008564869562784766,213.66666666666666
EDD_Rule,30,60,785.6666666666666,9804.376699353346,7856.666666666667,1947.7100326866803,0.04185207684834793,650.6666666666666
EDD_Rule,30,100,1163.6666666666667,16979.216615840913,11636.666666666666,5342.549949174248,0.07573103904724117,1005.3333333333334
EDD_Rule,30,140,1554.0,25408.169008778637,15540.0,9868.16900877864,0.1002713839213053,1419.3333333333333
SPT_Rule,10,20,633.3333333333334,7034.576531050225,6333.333333333333,701.2431977168917,0.003281593322753867,200.33333333333334
SPT_Rule,10,60,1706.3333333333333,22341.720089241437,17063.333333333332,5278.386755908102,0.0192674795786539,629.3333333333334
SPT_Rule,10,100,2869.6666666666665,42261.90304439256,28696.666666666668,13565.236377725887,0.04768927892049146,1068.3333333333333
SPT_Rule,10,140,3751.0,60203.24244161133,37510.0,22693.242441611324,0.08468492825826003,1462.3333333333333
SPT_Rule,20,20,358.6666666666667,4070.425746477659,3586.6666666666665,483.759079810993,0.014593760172526,192.33333333333334
SPT_Rule,20,60,916.6666666666666,12113.191320224318,9166.666666666666,2946.5246535576516,0.0229246616363525,637.3333333333334
SPT_Rule,20,100,1620.6666666666667,23502.94510818575,16206.666666666666,7296.278441519084,0.06805634498596187,1104.0
SPT_Rule,20,140,2068.3333333333335,30487.042739725588,20683.333333333332,9803.709406392254,0.09023531277974439,1492.6666666666667
SPT_Rule,30,20,331.6666666666667,3716.780544423787,3316.6666666666665,400.1138777571204,0.008029460906982366,213.66666666666666
SPT_Rule,30,60,704.3333333333334,8812.595961225737,7043.333333333333,1769.2626278924051,0.040024280548095634,650.6666666666666
SPT_Rule,30,100,1053.0,15425.81242144038,10530.0,4895.812421440379,0.08287390073140456,1005.3333333333334
SPT_Rule,30,140,1422.3333333333333,23355.76282762607,14223.333333333334,9132.42949429274,0.1379772822062174,1419.3333333333333
