instance,algorithm,T_internal,makespan,total_cost,production_cost,transportation_cost,tardiness,feasible,computation_time,schedule_length
instance_m10_j20_s1.json,SPT_Rule,50,562.0,6620.0,5620.0,1000,512.0,False,0.00286102294921875,173
instance_m10_j20_s1.json,EDD_Rule,50,645.0,7450.0,6450.0,1000,595.0,False,0.00347900390625,173
instance_m10_j20_s1.json,Composite_Rule,50,561.0,6610.0,5610.0,1000,511.0,False,0.004787921905517578,173
instance_m10_j20_s1.json,GeneticAlgorithm,50,112.0,2120.0,1120.0,1000,62.0,False,1.1697862148284912,29
instance_m10_j20_s1.json,SimulatedAnnealing,50,140.0,2400.0,1400.0,1000,90.0,False,0.06975197792053223,32
instance_m10_j20_s1.json,ParticleSwarmOptimization,50,140.0,2400.0,1400.0,1000,90.0,False,0.2896890640258789,27
instance_m10_j20_s1.json,SPT_Rule,100,562.0,6620.0,5620.0,1000,462.0,False,0.00296783447265625,173
instance_m10_j20_s1.json,EDD_Rule,100,645.0,7450.0,6450.0,1000,545.0,False,0.002986907958984375,173
instance_m10_j20_s1.json,Composite_Rule,100,620.0,7200.0,6200.0,1000,520.0,False,0.00794219970703125,173
instance_m10_j20_s1.json,GeneticAlgorithm,100,109.0,2090.0,1090.0,1000,9.0,False,0.8032231330871582,30
instance_m10_j20_s1.json,SimulatedAnnealing,100,148.0,2480.0,1480.0,1000,48.0,False,0.02787613868713379,29
instance_m10_j20_s1.json,ParticleSwarmOptimization,100,128.0,2280.0,1280.0,1000,28.0,False,0.30590105056762695,28
instance_m10_j20_s1.json,SPT_Rule,150,562.0,6620.0,5620.0,1000,412.0,False,0.002643108367919922,173
instance_m10_j20_s1.json,EDD_Rule,150,645.0,7450.0,6450.0,1000,495.0,False,0.003532886505126953,173
instance_m10_j20_s1.json,Composite_Rule,150,605.0,7050.0,6050.0,1000,455.0,False,0.0049419403076171875,173
instance_m10_j20_s1.json,GeneticAlgorithm,150,122.0,2220.0,1220.0,1000,0.0,True,0.840904951095581,33
instance_m10_j20_s1.json,SimulatedAnnealing,150,202.0,3020.0,2020.0,1000,52.0,False,0.027123212814331055,29
instance_m10_j20_s1.json,ParticleSwarmOptimization,150,109.0,2090.0,1090.0,1000,0.0,True,0.32941484451293945,26
instance_m10_j20_s2.json,SPT_Rule,50,705.0,8050.0,7050.0,1000,655.0,False,0.007359981536865234,235
instance_m10_j20_s2.json,EDD_Rule,50,768.0,8680.0,7680.0,1000,718.0,False,0.00763392448425293,235
instance_m10_j20_s2.json,Composite_Rule,50,685.0,7850.0,6850.0,1000,635.0,False,0.005784034729003906,235
instance_m10_j20_s2.json,GeneticAlgorithm,50,123.0,2230.0,1230.0,1000,73.0,False,1.2991070747375488,33
instance_m10_j20_s2.json,SimulatedAnnealing,50,135.0,2350.0,1350.0,1000,85.0,False,0.038178205490112305,31
