instance,algorithm,T_internal,makespan,total_cost,production_cost,transportation_cost,tardiness,feasible,computation_time,schedule_length
instance_m10_j20_s1.json,SPT_Rule,50,562.0,6620.0,5620.0,1000,512.0,False,0.002849102020263672,173
instance_m10_j20_s1.json,EDD_Rule,50,645.0,7450.0,6450.0,1000,595.0,False,0.003676891326904297,173
instance_m10_j20_s1.json,Composite_Rule,50,561.0,6610.0,5610.0,1000,511.0,False,0.005409955978393555,173
instance_m10_j20_s1.json,DQN_Algorithm,50,562.0,6620.0,5620.0,1000,512.0,False,1.9676449298858643,173
instance_m10_j20_s1.json,PPO_Algorithm,50,645.0,7450.0,6450.0,1000,595.0,False,0.00571894645690918,173
instance_m10_j20_s1.json,A2C_Algorithm,50,562.0,6620.0,5620.0,1000,512.0,False,0.007912874221801758,173
instance_m10_j20_s1.json,SPT_Rule,100,562.0,6620.0,5620.0,1000,462.0,False,0.005502939224243164,173
instance_m10_j20_s1.json,EDD_Rule,100,645.0,7450.0,6450.0,1000,545.0,False,0.007599830627441406,173
instance_m10_j20_s1.json,Composite_Rule,100,620.0,7200.0,6200.0,1000,520.0,False,0.005536079406738281,173
instance_m10_j20_s1.json,DQN_Algorithm,100,562.0,6620.0,5620.0,1000,462.0,False,0.00445103645324707,173
instance_m10_j20_s1.json,PPO_Algorithm,100,645.0,7450.0,6450.0,1000,545.0,False,0.0039980411529541016,173
instance_m10_j20_s1.json,A2C_Algorithm,100,562.0,6620.0,5620.0,1000,462.0,False,0.007681846618652344,173
instance_m10_j20_s1.json,SPT_Rule,150,562.0,6620.0,5620.0,1000,412.0,False,0.004789113998413086,173
instance_m10_j20_s1.json,EDD_Rule,150,645.0,7450.0,6450.0,1000,495.0,False,0.0042760372161865234,173
instance_m10_j20_s1.json,Composite_Rule,150,605.0,7050.0,6050.0,1000,455.0,False,0.006417036056518555,173
instance_m10_j20_s1.json,DQN_Algorithm,150,562.0,6620.0,5620.0,1000,412.0,False,0.0046808719635009766,173
instance_m10_j20_s1.json,PPO_Algorithm,150,645.0,7450.0,6450.0,1000,495.0,False,0.003330230712890625,173
